name,nameLocal,countryCode,countryName,ideology,politicalPosition,foundedYear,currentLeader,headquarters,website,logoUrl,description,membershipCount,isRulingParty,isParliamentary,isRegional,regionState
Democratic Party,,US,United States,Social Democratic,Centre-left,1828,Joe Biden,"Washington, D.C.",https://democrats.org,,"One of the two major political parties in the United States, advocating for social democracy, civil rights, and progressive policies.",,true,true,,
Republican Party,,US,United States,Conservative,Centre-right,1854,Donald Trump,"Washington, D.C.",https://gop.com,,"One of the two major political parties in the United States, advocating for conservative policies, limited government, and free markets.",,,true,,
Green Party,,US,United States,Green,Left,2001,,"Washington, D.C.",https://gp.org,,"Environmentalist political party focused on ecological wisdom, social justice, and grassroots democracy.",,,,,
Libertarian Party,,US,United States,Liberal,Centre,1971,,"Alexandria, Virginia",https://lp.org,,"Political party advocating for individual liberty, free markets, and limited government intervention.",,,,,
Conservative Party,,GB,United Kingdom,Conservative,Centre-right,1834,Rishi Sunak,London,https://conservatives.com,,"Centre-right political party in the United Kingdom, advocating for free markets, traditional values, and strong national defense.",,true,true,,
Labour Party,,GB,United Kingdom,Social Democratic,Centre-left,1900,Keir Starmer,London,https://labour.org.uk,,"Centre-left political party in the United Kingdom, advocating for social justice, workers' rights, and public services.",,,true,,
Liberal Democrats,,GB,United Kingdom,Liberal,Centre,1988,Ed Davey,London,https://libdems.org.uk,,"Centre political party in the United Kingdom, advocating for civil liberties, social liberalism, and European integration.",,,true,,
Scottish National Party,,GB,United Kingdom,Social Democratic,Centre-left,1934,Humza Yousaf,Edinburgh,https://snp.org,,Scottish political party advocating for Scottish independence and social democratic policies.,,,true,true,Scotland
Plaid Cymru,,GB,United Kingdom,Social Democratic,Centre-left,1925,Rhun ap Iorwerth,Cardiff,https://plaid.cymru,,Welsh political party advocating for Welsh independence and social democratic policies.,,,true,true,Wales
Liberal Party of Canada,,CA,Canada,Liberal,Centre,1867,Justin Trudeau,Ottawa,https://liberal.ca,,"Centre political party in Canada, advocating for social liberalism, multiculturalism, and progressive policies.",,true,true,,
Conservative Party of Canada,,CA,Canada,Conservative,Centre-right,2003,Pierre Poilievre,Ottawa,https://conservative.ca,,"Centre-right political party in Canada, advocating for fiscal conservatism, traditional values, and free markets.",,,true,,
New Democratic Party,,CA,Canada,Social Democratic,Centre-left,1961,Jagmeet Singh,Ottawa,https://ndp.ca,,"Centre-left political party in Canada, advocating for social democracy, workers' rights, and environmental protection.",,,true,,
Bloc Québécois,,CA,Canada,Social Democratic,Centre-left,1991,Yves-François Blanchet,Montreal,https://blocquebecois.org,,Quebec political party advocating for Quebec sovereignty and social democratic policies.,,,true,true,Quebec
Christian Democratic Union,,DE,Germany,Christian Democratic,Centre-right,1945,Friedrich Merz,Berlin,https://cdu.de,,"Centre-right political party in Germany, advocating for Christian democracy, social market economy, and European integration.",,,true,,
Social Democratic Party,,DE,Germany,Social Democratic,Centre-left,1863,Saskia Esken,Berlin,https://spd.de,,"Centre-left political party in Germany, advocating for social democracy, workers' rights, and social justice.",,,true,,
Alliance 90/The Greens,,DE,Germany,Green,Centre-left,1993,Ricarda Lang,Berlin,https://gruene.de,,"Green political party in Germany, advocating for environmental protection, social justice, and civil rights.",,,true,,
Free Democratic Party,,DE,Germany,Liberal,Centre-right,1948,Christian Lindner,Berlin,https://fdp.de,,"Liberal political party in Germany, advocating for free markets, civil liberties, and limited government.",,,true,,
Alternative for Germany,,DE,Germany,Nationalist,Far-right,2013,Tino Chrupalla,Berlin,https://afd.de,,"Right-wing populist political party in Germany, advocating for German nationalism and Euroscepticism.",,,true,,
Renaissance,,FR,France,Liberal,Centre,2016,Emmanuel Macron,Paris,https://en-marche.fr,,"Centre political party in France, advocating for liberalism, European integration, and economic reform.",,true,true,,
National Rally,,FR,France,Nationalist,Far-right,1972,Marine Le Pen,Paris,https://rassemblementnational.fr,,"Far-right political party in France, advocating for French nationalism, immigration control, and Euroscepticism.",,,true,,
The Republicans,,FR,France,Conservative,Centre-right,2015,Éric Ciotti,Paris,https://republicains.fr,,"Centre-right political party in France, advocating for conservatism, traditional values, and free markets.",,,true,,
Socialist Party,,FR,France,Social Democratic,Centre-left,1969,Olivier Faure,Paris,https://parti-socialiste.fr,,"Centre-left political party in France, advocating for social democracy, workers' rights, and social justice.",,,true,,
Australian Labor Party,,AU,Australia,Social Democratic,Centre-left,1891,Anthony Albanese,Canberra,https://alp.org.au,,"Centre-left political party in Australia, advocating for social democracy, workers' rights, and progressive policies.",,true,true,,
Liberal Party of Australia,,AU,Australia,Conservative,Centre-right,1944,Peter Dutton,Canberra,https://liberal.org.au,,"Centre-right political party in Australia, advocating for conservatism, free markets, and traditional values.",,,true,,
Australian Greens,,AU,Australia,Green,Left,1992,Adam Bandt,Canberra,https://greens.org.au,,"Green political party in Australia, advocating for environmental protection, social justice, and progressive policies.",,,true,,
Liberal Democratic Party,,JP,Japan,Conservative,Centre-right,1955,Fumio Kishida,Tokyo,https://jimin.jp,,"Centre-right political party in Japan, advocating for conservatism, economic growth, and traditional values.",,true,true,,
Constitutional Democratic Party,,JP,Japan,Social Democratic,Centre-left,2017,Kenta Izumi,Tokyo,https://cdp-japan.jp,,"Centre-left political party in Japan, advocating for social democracy, constitutional reform, and progressive policies.",,,true,,
